team1,team2,score1,score2,odd_team1,oddDraw,odd_team2,time,date
Australia,South Africa,25,17,,,,,27 Aou 2022
South Africa,New Zealand,23,35,,,,,13 Aou 2022
Argentina,Australia,48,17,,,,,13 Aou 2022
Argentina,Australia,26,41,,,,,6 Aou 2022
South Africa,New Zealand,26,10,,,,,6 Aou 2022
New Zealand,Ireland,22,32,,,,,16 Jul 2022
Argentina,Scotland,34,31,,,,,16 Jul 2022
Australia,England,17,21,,,,,16 Jul 2022
South Africa,Wales,30,14,,,,,16 Jul 2022
Argentina,Scotland,6,29,,,,,9 Jul 2022
Australia,England,17,25,,,,,9 Jul 2022
New Zealand,Ireland,12,23,,,,,9 Jul 2022
South Africa,Wales,12,13,,,,,9 Jul 2022
South Africa,Wales,32,29,,,,,2 Jul 2022
Australia,England,30,28,,,,,2 Jul 2022
New Zealand,Ireland,42,19,,,,,2 Jul 2022
Argentina,Scotland,26,18,,,,,2 Jul 2022
France,England,25,13,,,,,20 Mar 2022
Wales,Italy,21,22,,,,,19 Mar 2022
Ireland,Scotland,26,5,,,,,19 Mar 2022
Italy,Scotland,22,33,,,,,12 Mar 2022
England,Ireland,15,32,,,,,12 Mar 2022
Wales,France,9,13,,,,,11 Mar 2022
Ireland,Italy,57,6,,,,,28 Fev 2022
Scotland,France,17,36,,,,,26 Fev 2022
England,Wales,23,19,,,,,26 Fev 2022
Italy,England,0,33,,,,,13 Fev 2022
France,Ireland,30,24,,,,,12 Fev 2022
Wales,Scotland,20,17,,,,,12 Fev 2022
France,Italy,37,10,,,,,7 Fev 2022
Scotland,England,20,17,,,,,5 Fev 2022
Ireland,Wales,29,7,,,,,5 Fev 2022
Ireland,Argentina,53,7,,,,,21 Nov 2021
Wales,Australia,29,28,,,,,20 Nov 2021
England,South Africa,27,26,,,,,20 Nov 2021
France,New Zealand,40,25,,,,,20 Nov 2021
Italy,Argentina,16,37,,,,,13 Nov 2021
Scotland,South Africa,15,30,,,,,13 Nov 2021
Ireland,New Zealand,29,20,,,,,13 Nov 2021
England,Australia,32,15,,,,,13 Nov 2021
Italy,New Zealand,9,47,,,,,6 Nov 2021
Wales,South Africa,18,23,,,,,6 Nov 2021
Scotland,Australia,15,13,,,,,6 Nov 2021
France,Argentina,29,20,,,,,5 Nov 2021
Wales,New Zealand,16,54,,,,,30 Oct 2021
New Zealand,South Africa,29,31,,,,,2 Oct 2021
Australia,Argentina,32,17,,,,,2 Oct 2021
New Zealand,South Africa,19,17,,,,,25 Sep 2021
Australia,Argentina,27,8,,,,,25 Sep 2021
Australia,South Africa,30,17,,,,,18 Sep 2021
New Zealand,Argentina,36,13,,,,,18 Sep 2021
Argentina,New Zealand,0,39,,,,,11 Sep 2021
Australia,South Africa,28,26,,,,,11 Sep 2021
Australia,New Zealand,21,38,,,,,5 Sep 2021
South Africa,Argentina,29,10,,,,,21 Aou 2021
New Zealand,Australia,57,22,,,,,14 Aou 2021
South Africa,Argentina,32,12,,,,,14 Aou 2021
New Zealand,Australia,33,25,,,,,7 Aou 2021
Australia,France,33,30,,,,,17 Jul 2021
Wales,Argentina,33,11,,,,,17 Jul 2021
Australia,France,26,28,,,,,13 Jul 2021
Wales,Argentina,20,20,,,,,10 Jul 2021
Australia,France,23,21,,,,,7 Jul 2021
France,Scotland,23,27,,,,,26 Mar 2021
France,Wales,32,30,,,,,20 Mar 2021
Ireland,England,32,18,,,,,20 Mar 2021
Scotland,Italy,52,10,,,,,20 Mar 2021
Scotland,Ireland,24,27,,,,,14 Mar 2021
Italy,Wales,7,48,,,,,13 Mar 2021
England,France,23,20,,,,,13 Mar 2021
Italy,Ireland,10,48,,,,,27 Fev 2021
Wales,England,40,24,,,,,27 Fev 2021
Ireland,France,13,15,,,,,14 Fev 2021
Scotland,Wales,24,25,,,,,13 Fev 2021
England,Italy,41,18,,,,,13 Fev 2021
Wales,Ireland,21,16,,,,,7 Fev 2021
Italy,France,10,50,,,,,6 Fev 2021
England,Scotland,6,11,,,,,6 Fev 2021
England,France,22,19,,,,,6  2020
Wales,Italy,38,18,,,,,5  2020
Ireland,Scotland,31,16,,,,,5  2020
Australia,Argentina,16,16,,,,,5  2020
Argentina,New Zealand,0,38,,,,,28 Nov 2020
Wales,England,13,24,,,,,28 Nov 2020
France,Italy,36,5,,,,,28 Nov 2020
Scotland,France,15,22,,,,,22 Nov 2020
Australia,Argentina,15,15,,,,,21 Nov 2020
England,Ireland,18,7,,,,,21 Nov 2020
Italy,Scotland,17,28,,,,,14 Nov 2020
New Zealand,Argentina,15,25,,,,,14 Nov 2020
Ireland,Wales,32,9,,,,,13 Nov 2020
Australia,New Zealand,24,22,,,,,7 Nov 2020
Australia,New Zealand,5,43,,,,,31 Oct 2020
Italy,England,5,34,,,,,31 Oct 2020
France,Ireland,35,27,,,,,31 Oct 2020
Wales,Scotland,10,14,,,,,31 Oct 2020
France,Wales,38,21,,,,,24 Oct 2020
Ireland,Italy,50,17,,,,,24 Oct 2020
New Zealand,Australia,27,7,,,,,18 Oct 2020
New Zealand,Australia,16,16,,,,,11 Oct 2020
Scotland,France,28,17,,,,,8 Mar 2020
England,Wales,33,30,,,,,7 Mar 2020
England,Ireland,24,12,,,,,23 Fev 2020
Wales,France,23,27,,,,,22 Fev 2020
Italy,Scotland,0,17,,,,,22 Fev 2020
France,Italy,35,22,,,,,9 Fev 2020
Ireland,Wales,24,14,,,,,8 Fev 2020
Scotland,England,6,13,,,,,8 Fev 2020
France,England,24,17,,,,,2 Fev 2020
Ireland,Scotland,19,12,,,,,1 Fev 2020
Wales,Italy,42,0,,,,,1 Fev 2020
England,South Africa,12,32,,,,,2 Nov 2019
New Zealand,Wales,40,17,,,,,1 Nov 2019
Wales,South Africa,16,19,,,,,27 Oct 2019
England,New Zealand,19,7,,,,,26 Oct 2019
Wales,France,20,19,,,,,20 Oct 2019
England,Australia,40,16,,,,,19 Oct 2019
New Zealand,Ireland,46,14,,,,,19 Oct 2019
England,Argentina,39,10,,,,,5 Oct 2019
South Africa,Italy,49,3,,,,,4 Oct 2019
Australia,Wales,25,29,,,,,29 Sep 2019
Ireland,Scotland,27,3,,,,,22 Sep 2019
France,Argentina,23,21,,,,,21 Sep 2019
New Zealand,South Africa,23,13,,,,,21 Sep 2019
Ireland,Wales,19,10,,,,,7 Sep 2019
England,Italy,37,0,,,,,6 Sep 2019
Wales,Ireland,17,22,,,,,31 Aou 2019
France,Italy,47,19,,,,,30 Aou 2019
England,Ireland,57,15,,,,,24 Aou 2019
Scotland,France,17,14,,,,,24 Aou 2019
South Africa,Argentina,24,18,,,,,17 Aou 2019
Wales,England,13,6,,,,,17 Aou 2019
France,Scotland,32,3,,,,,17 Aou 2019
New Zealand,Australia,36,0,,,,,17 Aou 2019
England,Wales,33,19,,,,,11 Aou 2019
Argentina,South Africa,13,46,,,,,10 Aou 2019
Australia,New Zealand,47,26,,,,,10 Aou 2019
Ireland,Italy,29,10,,,,,10 Aou 2019
New Zealand,South Africa,16,16,,,,,27 Jul 2019
Australia,Argentina,16,10,,,,,27 Jul 2019
Argentina,New Zealand,16,20,,,,,20 Jul 2019
South Africa,Australia,35,17,,,,,20 Jul 2019
England,Scotland,38,38,,,,,16 Mar 2019
Italy,France,14,25,,,,,16 Mar 2019
Wales,Ireland,25,7,,,,,16 Mar 2019
Ireland,France,26,14,,,,,10 Mar 2019
Scotland,Wales,11,18,,,,,9 Mar 2019
England,Italy,57,14,,,,,9 Mar 2019
Italy,Ireland,16,26,,,,,24 Fev 2019
Wales,England,21,13,,,,,23 Fev 2019
France,Scotland,27,10,,,,,23 Fev 2019
England,France,44,8,,,,,10 Fev 2019
Italy,Wales,15,26,,,,,9 Fev 2019
Scotland,Ireland,13,22,,,,,9 Fev 2019
Ireland,England,20,32,,,,,2 Fev 2019
Scotland,Italy,33,20,,,,,2 Fev 2019
France,Wales,19,24,,,,,1 Fev 2019
Italy,New Zealand,3,66,,,,,24 Nov 2018
England,Australia,37,18,,,,,24 Nov 2018
Wales,South Africa,20,11,,,,,24 Nov 2018
Scotland,Argentina,14,9,,,,,24 Nov 2018
Scotland,South Africa,20,26,,,,,17 Nov 2018
Italy,Australia,7,26,,,,,17 Nov 2018
France,Argentina,28,13,,,,,17 Nov 2018
Ireland,New Zealand,16,9,,,,,17 Nov 2018
France,South Africa,26,29,,,,,10 Nov 2018
Ireland,Argentina,28,17,,,,,10 Nov 2018
England,New Zealand,15,16,,,,,10 Nov 2018
Wales,Australia,9,6,,,,,10 Nov 2018
England,South Africa,12,11,,,,,3 Nov 2018
Wales,Scotland,21,10,,,,,3 Nov 2018
Ireland,Italy,54,7,,,,,3 Nov 2018
New Zealand,Australia,37,20,,,,,27 Oct 2018
Argentina,Australia,34,45,,,,,6 Oct 2018
South Africa,New Zealand,30,32,,,,,6 Oct 2018
Argentina,New Zealand,17,35,,,,,29 Sep 2018
South Africa,Australia,23,12,,,,,29 Sep 2018
New Zealand,South Africa,34,36,,,,,15 Sep 2018
Australia,Argentina,19,23,,,,,15 Sep 2018
New Zealand,Argentina,46,24,,,,,8 Sep 2018
Australia,South Africa,23,18,,,,,8 Sep 2018
Argentina,South Africa,32,19,,,,,25 Aou 2018
New Zealand,Australia,40,12,,,,,25 Aou 2018
Australia,New Zealand,13,38,,,,,18 Aou 2018
South Africa,Argentina,34,21,,,,,18 Aou 2018
Argentina,Scotland,15,44,,,,,23 Jui 2018
South Africa,England,10,25,,,,,23 Jui 2018
Australia,Ireland,16,20,,,,,23 Jui 2018
New Zealand,France,49,14,,,,,23 Jui 2018
Argentina,Wales,12,30,,,,,16 Jui 2018
Australia,Ireland,21,26,,,,,16 Jui 2018
New Zealand,France,26,13,,,,,16 Jui 2018
South Africa,England,23,12,,,,,16 Jui 2018
South Africa,England,42,39,,,,,9 Jui 2018
Argentina,Wales,10,23,,,,,9 Jui 2018
New Zealand,France,52,11,,,,,9 Jui 2018
Australia,Ireland,18,9,,,,,9 Jui 2018
South Africa,Wales,20,22,,,,,2 Jui 2018
Italy,Scotland,27,29,,,,,17 Mar 2018
England,Ireland,15,24,,,,,17 Mar 2018
Wales,France,14,13,,,,,17 Mar 2018
Wales,Italy,38,14,,,,,11 Mar 2018
France,England,22,16,,,,,10 Mar 2018
Ireland,Scotland,28,8,,,,,10 Mar 2018
Ireland,Wales,37,27,,,,,24 Fev 2018
Scotland,England,25,13,,,,,24 Fev 2018
France,Italy,34,17,,,,,23 Fev 2018
Scotland,France,32,26,,,,,11 Fev 2018
Ireland,Italy,56,19,,,,,10 Fev 2018
England,Wales,12,6,,,,,10 Fev 2018
Italy,England,15,46,,,,,4 Fev 2018
France,Ireland,13,15,,,,,3 Fev 2018
Wales,Scotland,34,7,,,,,3 Fev 2018
Wales,South Africa,24,22,,,,,2  2017
Italy,South Africa,6,35,,,,,25 Nov 2017
Wales,New Zealand,18,33,,,,,25 Nov 2017
Scotland,Australia,53,24,,,,,25 Nov 2017
Ireland,Argentina,28,19,,,,,25 Nov 2017
Italy,Argentina,15,31,,,,,18 Nov 2017
Scotland,New Zealand,17,22,,,,,18 Nov 2017
France,South Africa,17,18,,,,,18 Nov 2017
England,Australia,30,6,,,,,18 Nov 2017
France,New Zealand,18,38,,,,,11 Nov 2017
Wales,Australia,21,29,,,,,11 Nov 2017
England,Argentina,21,8,,,,,11 Nov 2017
Ireland,South Africa,38,3,,,,,11 Nov 2017
Australia,New Zealand,23,18,,,,,21 Oct 2017
Argentina,Australia,20,37,,,,,7 Oct 2017
South Africa,New Zealand,24,25,,,,,7 Oct 2017
Argentina,New Zealand,10,36,,,,,30 Sep 2017
South Africa,Australia,27,27,,,,,30 Sep 2017
Australia,Argentina,45,20,,,,,16 Sep 2017
New Zealand,South Africa,57,0,,,,,16 Sep 2017
Australia,South Africa,23,23,,,,,9 Sep 2017
New Zealand,Argentina,39,22,,,,,9 Sep 2017
Argentina,South Africa,23,41,,,,,26 Aou 2017
New Zealand,Australia,35,29,,,,,26 Aou 2017
Australia,New Zealand,34,54,,,,,19 Aou 2017
South Africa,Argentina,37,15,,,,,19 Aou 2017
Australia,Italy,40,27,,,,,24 Jui 2017
South Africa,France,35,12,,,,,24 Jui 2017
Argentina,England,25,35,,,,,17 Jui 2017
Australia,Scotland,19,24,,,,,17 Jui 2017
South Africa,France,37,15,,,,,17 Jui 2017
Argentina,England,34,38,,,,,10 Jui 2017
Italy,Scotland,13,34,,,,,10 Jui 2017
South Africa,France,37,14,,,,,10 Jui 2017
France,Wales,20,18,,,,,18 Mar 2017
Ireland,England,13,9,,,,,18 Mar 2017
Scotland,Italy,29,0,,,,,18 Mar 2017
Italy,France,18,40,,,,,11 Mar 2017
England,Scotland,61,21,,,,,11 Mar 2017
Wales,Ireland,22,9,,,,,10 Mar 2017
England,Italy,36,15,,,,,26 Fev 2017
Scotland,Wales,29,13,,,,,25 Fev 2017
Ireland,France,19,9,,,,,25 Fev 2017
France,Scotland,22,16,,,,,12 Fev 2017
Italy,Ireland,10,63,,,,,11 Fev 2017
Wales,England,16,21,,,,,11 Fev 2017
Italy,Wales,7,33,,,,,5 Fev 2017
Scotland,Ireland,27,22,,,,,4 Fev 2017
England,France,19,16,,,,,4 Fev 2017
England,Australia,37,21,,,,,3  2016
France,New Zealand,19,24,,,,,26 Nov 2016
Ireland,Australia,27,24,,,,,26 Nov 2016
England,Argentina,27,14,,,,,26 Nov 2016
Wales,South Africa,27,13,,,,,26 Nov 2016
France,Australia,23,25,,,,,19 Nov 2016
Ireland,New Zealand,9,21,,,,,19 Nov 2016
Italy,South Africa,20,18,,,,,19 Nov 2016
Scotland,Argentina,19,16,,,,,19 Nov 2016
Italy,New Zealand,10,68,,,,,12 Nov 2016
Scotland,Australia,22,23,,,,,12 Nov 2016
England,South Africa,37,21,,,,,12 Nov 2016
Wales,Argentina,24,20,,,,,12 Nov 2016
Wales,Australia,8,32,,,,,5 Nov 2016
Ireland,New Zealand,40,29,,,,,5 Nov 2016
New Zealand,Australia,37,10,,,,,22 Oct 2016
South Africa,New Zealand,15,57,,,,,8 Oct 2016
Argentina,Australia,21,33,,,,,8 Oct 2016
Argentina,New Zealand,17,36,,,,,1 Oct 2016
South Africa,Australia,18,10,,,,,1 Oct 2016
Australia,Argentina,36,20,,,,,17 Sep 2016
New Zealand,South Africa,41,13,,,,,17 Sep 2016
New Zealand,Argentina,57,22,,,,,10 Sep 2016
Australia,South Africa,23,17,,,,,10 Sep 2016
Argentina,South Africa,26,24,,,,,27 Aou 2016
New Zealand,Australia,29,9,,,,,27 Aou 2016
Australia,New Zealand,8,42,,,,,20 Aou 2016
South Africa,Argentina,30,23,,,,,20 Aou 2016
Australia,England,40,44,,,,,25 Jui 2016
Argentina,France,0,27,,,,,25 Jui 2016
South Africa,Ireland,19,13,,,,,25 Jui 2016
New Zealand,Wales,46,6,,,,,25 Jui 2016
Argentina,France,30,19,,,,,19 Jui 2016
South Africa,Ireland,32,26,,,,,18 Jui 2016
Australia,England,7,23,,,,,18 Jui 2016
New Zealand,Wales,36,22,,,,,18 Jui 2016
Australia,England,28,39,,,,,11 Jui 2016
South Africa,Ireland,20,26,,,,,11 Jui 2016
Argentina,Italy,30,24,,,,,11 Jui 2016
New Zealand,Wales,39,21,,,,,11 Jui 2016
England,Wales,27,13,,,,,29 Mai 2016
France,England,21,31,,,,,19 Mar 2016
Ireland,Scotland,35,25,,,,,19 Mar 2016
Wales,Italy,67,14,,,,,19 Mar 2016
Scotland,France,29,18,,,,,13 Mar 2016
England,Wales,25,21,,,,,12 Mar 2016
Ireland,Italy,58,15,,,,,12 Mar 2016
Italy,Scotland,20,36,,,,,27 Fev 2016
England,Ireland,21,10,,,,,27 Fev 2016
Wales,France,19,10,,,,,26 Fev 2016
Italy,England,9,40,,,,,14 Fev 2016
Wales,Scotland,27,23,,,,,13 Fev 2016
France,Ireland,10,9,,,,,13 Fev 2016
Ireland,Wales,16,16,,,,,7 Fev 2016
France,Italy,23,21,,,,,6 Fev 2016
Scotland,England,9,15,,,,,6 Fev 2016
New Zealand,Australia,34,17,,,,,31 Oct 2015
South Africa,Argentina,24,13,,,,,30 Oct 2015
Argentina,Australia,15,29,,,,,25 Oct 2015
South Africa,New Zealand,18,20,,,,,24 Oct 2015
Ireland,Argentina,20,43,,,,,18 Oct 2015
Australia,Scotland,35,34,,,,,18 Oct 2015
South Africa,Wales,23,19,,,,,17 Oct 2015
New Zealand,France,62,13,,,,,17 Oct 2015
France,Ireland,9,24,,,,,11 Oct 2015
Australia,Wales,15,6,,,,,10 Oct 2015
Ireland,Italy,16,9,,,,,4 Oct 2015
England,Australia,13,33,,,,,3 Oct 2015
South Africa,Scotland,34,16,,,,,3 Oct 2015
England,Wales,25,28,,,,,26 Sep 2015
New Zealand,Argentina,26,16,,,,,20 Sep 2015
France,Italy,32,10,,,,,19 Sep 2015
Wales,Italy,23,19,,,,,5 Sep 2015
France,Scotland,19,16,,,,,5 Sep 2015
England,Ireland,21,13,,,,,5 Sep 2015
Ireland,Wales,10,16,,,,,29 Aou 2015
Scotland,Italy,48,7,,,,,29 Aou 2015
France,England,25,20,,,,,22 Aou 2015
Italy,Scotland,12,16,,,,,22 Aou 2015
Argentina,South Africa,12,26,,,,,15 Aou 2015
Ireland,Scotland,28,22,,,,,15 Aou 2015
England,France,19,14,,,,,15 Aou 2015
New Zealand,Australia,41,13,,,,,15 Aou 2015
South Africa,Argentina,25,37,,,,,8 Aou 2015
Wales,Ireland,21,35,,,,,8 Aou 2015
Australia,New Zealand,27,19,,,,,8 Aou 2015
Argentina,Australia,9,34,,,,,25 Jul 2015
South Africa,New Zealand,20,27,,,,,25 Jul 2015
Australia,South Africa,24,20,,,,,18 Jul 2015
New Zealand,Argentina,39,18,,,,,17 Jul 2015
Italy,Wales,20,61,,,,,21 Mar 2015
Scotland,Ireland,10,40,,,,,21 Mar 2015
England,France,55,35,,,,,21 Mar 2015
Italy,France,0,29,,,,,15 Mar 2015
Wales,Ireland,23,16,,,,,14 Mar 2015
England,Scotland,25,13,,,,,14 Mar 2015
Ireland,England,19,9,,,,,1 Mar 2015
Scotland,Italy,19,22,,,,,28 Fev 2015
France,Wales,13,20,,,,,28 Fev 2015
Scotland,Wales,23,26,,,,,15 Fev 2015
England,Italy,47,17,,,,,14 Fev 2015
Ireland,France,18,11,,,,,14 Fev 2015
Italy,Ireland,3,26,,,,,7 Fev 2015
France,Scotland,15,8,,,,,7 Fev 2015
Wales,England,16,21,,,,,6 Fev 2015
England,Australia,26,17,,,,,29 Nov 2014
Wales,South Africa,12,6,,,,,29 Nov 2014
Wales,New Zealand,16,34,,,,,22 Nov 2014
Ireland,Australia,26,23,,,,,22 Nov 2014
Italy,South Africa,6,22,,,,,22 Nov 2014
France,Argentina,13,18,,,,,22 Nov 2014
England,South Africa,28,31,,,,,15 Nov 2014
France,Australia,29,26,,,,,15 Nov 2014
Scotland,New Zealand,16,24,,,,,15 Nov 2014
Italy,Argentina,18,20,,,,,15 Nov 2014
Wales,Australia,28,33,,,,,8 Nov 2014
Scotland,Argentina,41,31,,,,,8 Nov 2014
England,New Zealand,21,24,,,,,8 Nov 2014
Ireland,South Africa,29,15,,,,,8 Nov 2014
Australia,New Zealand,28,29,,,,,18 Oct 2014
South Africa,New Zealand,27,25,,,,,4 Oct 2014
Argentina,Australia,21,17,,,,,4 Oct 2014
Argentina,New Zealand,13,34,,,,,27 Sep 2014
South Africa,Australia,28,10,,,,,27 Sep 2014
Australia,Argentina,32,25,,,,,13 Sep 2014
New Zealand,South Africa,14,10,,,,,13 Sep 2014
Australia,South Africa,24,23,,,,,6 Sep 2014
New Zealand,Argentina,28,9,,,,,6 Sep 2014
Argentina,South Africa,31,33,,,,,23 Aou 2014
New Zealand,Australia,51,20,,,,,23 Aou 2014
Australia,New Zealand,12,12,,,,,16 Aou 2014
South Africa,Argentina,13,6,,,,,16 Aou 2014
South Africa,Scotland,55,6,,,,,28 Jui 2014
South Africa,Wales,31,30,,,,,21 Jui 2014
Argentina,Scotland,19,21,,,,,21 Jui 2014
Australia,France,39,13,,,,,21 Jui 2014
New Zealand,England,36,13,,,,,21 Jui 2014
New Zealand,England,28,27,,,,,14 Jui 2014
Argentina,Ireland,17,23,,,,,14 Jui 2014
South Africa,Wales,38,16,,,,,14 Jui 2014
Australia,France,6,0,,,,,14 Jui 2014
Argentina,Ireland,17,29,,,,,7 Jui 2014
Australia,France,50,23,,,,,7 Jui 2014
New Zealand,England,20,15,,,,,7 Jui 2014
Italy,England,11,52,,,,,15 Mar 2014
France,Ireland,20,22,,,,,15 Mar 2014
Wales,Scotland,51,3,,,,,15 Mar 2014
England,Wales,29,18,,,,,9 Mar 2014
Scotland,France,17,19,,,,,8 Mar 2014
Ireland,Italy,46,7,,,,,8 Mar 2014
Italy,Scotland,20,21,,,,,22 Fev 2014
England,Ireland,13,10,,,,,22 Fev 2014
Wales,France,27,6,,,,,21 Fev 2014
France,Italy,30,10,,,,,9 Fev 2014
Scotland,England,0,20,,,,,8 Fev 2014
Ireland,Wales,26,3,,,,,8 Fev 2014
Ireland,Scotland,28,6,,,,,2 Fev 2014
France,England,26,24,,,,,1 Fev 2014
Wales,Italy,23,15,,,,,1 Fev 2014
Wales,Australia,26,30,,,,,30 Nov 2013
Ireland,New Zealand,22,24,,,,,24 Nov 2013
Scotland,Australia,15,21,,,,,23 Nov 2013
France,South Africa,10,19,,,,,23 Nov 2013
Italy,Argentina,14,19,,,,,23 Nov 2013
Scotland,South Africa,0,28,,,,,17 Nov 2013
Ireland,Australia,15,32,,,,,16 Nov 2013
England,New Zealand,22,30,,,,,16 Nov 2013
Wales,Argentina,40,6,,,,,16 Nov 2013
Italy,Australia,20,50,,,,,9 Nov 2013
France,New Zealand,19,26,,,,,9 Nov 2013
Wales,South Africa,15,24,,,,,9 Nov 2013
England,Argentina,31,12,,,,,9 Nov 2013
England,Australia,20,13,,,,,2 Nov 2013
New Zealand,Australia,41,33,,,,,19 Oct 2013
Argentina,Australia,17,54,,,,,5 Oct 2013
South Africa,New Zealand,27,38,,,,,5 Oct 2013
Argentina,New Zealand,15,33,,,,,28 Sep 2013
South Africa,Australia,28,8,,,,,28 Sep 2013
New Zealand,South Africa,29,15,,,,,14 Sep 2013
Australia,Argentina,14,13,,,,,14 Sep 2013
Australia,South Africa,12,38,,,,,7 Sep 2013
New Zealand,Argentina,28,13,,,,,7 Sep 2013
Argentina,South Africa,17,22,,,,,24 Aou 2013
New Zealand,Australia,27,16,,,,,24 Aou 2013
Australia,New Zealand,29,47,,,,,17 Aou 2013
South Africa,Argentina,73,13,,,,,17 Aou 2013
Scotland,Italy,30,29,,,,,22 Jui 2013
New Zealand,France,24,9,,,,,22 Jui 2013
Argentina,England,26,51,,,,,15 Jui 2013
South Africa,Scotland,30,17,,,,,15 Jui 2013
New Zealand,France,30,0,,,,,15 Jui 2013
Argentina,England,3,32,,,,,8 Jui 2013
New Zealand,France,23,13,,,,,8 Jui 2013
South Africa,Italy,44,10,,,,,8 Jui 2013
France,Scotland,23,16,,,,,16 Mar 2013
Italy,Ireland,22,15,,,,,16 Mar 2013
Wales,England,30,3,,,,,16 Mar 2013
England,Italy,18,11,,,,,10 Mar 2013
Scotland,Wales,18,28,,,,,9 Mar 2013
Ireland,France,13,13,,,,,9 Mar 2013
Scotland,Ireland,12,8,,,,,24 Fev 2013
Italy,Wales,9,26,,,,,23 Fev 2013
England,France,23,13,,,,,23 Fev 2013
Ireland,England,6,12,,,,,10 Fev 2013
France,Wales,6,16,,,,,9 Fev 2013
Scotland,Italy,34,10,,,,,9 Fev 2013
Italy,France,23,18,,,,,3 Fev 2013
Wales,Ireland,22,30,,,,,2 Fev 2013
England,Scotland,38,18,,,,,2 Fev 2013
England,New Zealand,38,21,,,,,1  2012
Wales,Australia,12,14,,,,,1  2012
Wales,New Zealand,10,33,,,,,24 Nov 2012
Ireland,Argentina,46,24,,,,,24 Nov 2012
Italy,Australia,19,22,,,,,24 Nov 2012
England,South Africa,15,16,,,,,24 Nov 2012
Italy,New Zealand,10,42,,,,,17 Nov 2012
France,Argentina,39,22,,,,,17 Nov 2012
Scotland,South Africa,10,21,,,,,17 Nov 2012
England,Australia,14,20,,,,,17 Nov 2012
Scotland,New Zealand,22,51,,,,,11 Nov 2012
Wales,Argentina,12,26,,,,,10 Nov 2012
Ireland,South Africa,12,16,,,,,10 Nov 2012
France,Australia,33,6,,,,,10 Nov 2012
Australia,New Zealand,18,18,,,,,20 Oct 2012
South Africa,New Zealand,16,32,,,,,6 Oct 2012
Argentina,Australia,19,25,,,,,6 Oct 2012
Argentina,New Zealand,15,54,,,,,29 Sep 2012
South Africa,Australia,31,8,,,,,29 Sep 2012
Australia,Argentina,23,19,,,,,15 Sep 2012
